SL. NO,COURSE NAME,STATE,NAME AND ADDRESS OF THE COLLEGE,UNIVERSITY NAME,MANAGEMENT OF THE COLLEGE,YEAR OF INCEPTION OF COLLEGE,ACTUAL INTAKE (SEATS)
4538,M.B.B.S.,Madhya Pradesh,"Government Medical College, Vidisha, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,180
4539,M.B.B.S.,Madhya Pradesh,"Government Medical College, Khandwa, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,120
4540,M.B.B.S.,Madhya Pradesh,"Government Medical College, Datia, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,120
4541,MD - Anaesthesiology,Madhya Pradesh,"L.N. Medical College and Research Centre,Bhopal","LNCT University, Bhopal",Trust,2009,15
4542,MD - Radio Diagnosis/Radiology,Madhya Pradesh,"L.N. Medical College and Research Centre,Bhopal","LNCT University, Bhopal",Trust,2009,8
4543,MS - Obstetrics & Gynaecology,Madhya Pradesh,"L.N. Medical College and Research Centre,Bhopal","LNCT University, Bhopal",Trust,2009,10
4544,MS - General Surgery,Madhya Pradesh,"L.N. Medical College and Research Centre,Bhopal","LNCT University, Bhopal",Trust,2009,24
4545,MS - Orthopaedics,Madhya Pradesh,"L.N. Medical College and Research Centre,Bhopal","LNCT University, Bhopal",Trust,2009,12
4546,MD - General Medicine,Madhya Pradesh,"L.N. Medical College and Research Centre,Bhopal","LNCT University, Bhopal",Trust,2009,24
4547,MS - General Surgery,Madhya Pradesh,"Gandhi Medical College, Bhopal","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1955,24
4548,MD - Psychiatry,Madhya Pradesh,"Shyam Shah Medical College, Rewa","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1963,5
4549,M.B.B.S.,Madhya Pradesh,"Amaltas Institute of Medical Sciences, Dewas","Amaltas University, Dewas",Society,2016,250
4550,MD - Pathology,Madhya Pradesh,"Chirayu Medical College and Hospital, Bairagarh,Bhopal","Chirayu University, Bhopal (M.P)",Trust,2011,8
4551,MD - Social & Preventive Medicine / Community Medicine,Madhya Pradesh,"Chirayu Medical College and Hospital, Bairagarh,Bhopal","Chirayu University, Bhopal (M.P)",Trust,2011,4
4552,MD - Microbiology,Madhya Pradesh,"Chirayu Medical College and Hospital, Bairagarh,Bhopal","Chirayu University, Bhopal (M.P)",Trust,2011,4
4553,MD - Physiology,Madhya Pradesh,"Chirayu Medical College and Hospital, Bairagarh,Bhopal","Chirayu University, Bhopal (M.P)",Trust,2011,2
4554,MD - Pharmacology,Madhya Pradesh,"Chirayu Medical College and Hospital, Bairagarh,Bhopal","Chirayu University, Bhopal (M.P)",Trust,2011,2
4555,MD - Bio-Chemistry,Madhya Pradesh,"Chirayu Medical College and Hospital, Bairagarh,Bhopal","Chirayu University, Bhopal (M.P)",Trust,2011,2
4556,MD/MS - Anatomy,Madhya Pradesh,"Chirayu Medical College and Hospital, Bairagarh,Bhopal","Chirayu University, Bhopal (M.P)",Trust,2011,2
4557,M.B.B.S.,Madhya Pradesh,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",Barkatullah University,Society,2014,150
4558,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Madhya Pradesh,"Index Medical College Hospital & Research Centre,Indore","Malwanchal University, Indore",Trust,2007,5
4559,MD/MS - Ophthalmology,Madhya Pradesh,"Index Medical College Hospital & Research Centre,Indore","Malwanchal University, Indore",Trust,2007,5
4560,MD - General Medicine,Madhya Pradesh,"Index Medical College Hospital & Research Centre,Indore","Malwanchal University, Indore",Trust,2007,24
4561,MD - Bio-Chemistry,Madhya Pradesh,"Ruxmaniben Deepchand Gardi Medical College, Ujjain","Vikram University, Ujjain",Trust,2001,3
4562,MS - General Surgery,Madhya Pradesh,"Index Medical College Hospital & Research Centre,Indore","Malwanchal University, Indore",Trust,2007,30
4563,MD - Anaesthesiology,Madhya Pradesh,"Index Medical College Hospital & Research Centre,Indore","Malwanchal University, Indore",Trust,2007,23
4564,MS - Orthopaedics,Madhya Pradesh,"Index Medical College Hospital & Research Centre,Indore","Malwanchal University, Indore",Trust,2007,23
4565,MS - Obstetrics & Gynaecology,Madhya Pradesh,"Index Medical College Hospital & Research Centre,Indore","Malwanchal University, Indore",Trust,2007,13
4566,"MD - Dermatology , Venereology & Leprosy",Madhya Pradesh,"Index Medical College Hospital & Research Centre,Indore","Malwanchal University, Indore",Trust,2007,8
4567,MD - Psychiatry,Madhya Pradesh,"Index Medical College Hospital & Research Centre,Indore","Malwanchal University, Indore",Trust,2007,5
4568,MS - ENT,Madhya Pradesh,"Index Medical College Hospital & Research Centre,Indore","Malwanchal University, Indore",Trust,2007,6
4569,MD - Paediatrics,Madhya Pradesh,"Index Medical College Hospital & Research Centre,Indore","Malwanchal University, Indore",Trust,2007,15
4570,DM - Oncology,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,6
4571,DM - Nephrology,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,4
4572,M.Ch - Urology/Genito-Urinary Surgery,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,4
4573,MD - Microbiology,Madhya Pradesh,"M G M Medical College, Indore","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1948,13
4574,MD - Anaesthesiology,Madhya Pradesh,"Shyam Shah Medical College, Rewa","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1963,10
4575,MD - Psychiatry,Madhya Pradesh,"M G M Medical College, Indore","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1948,10
4576,MD - Social & Preventive Medicine / Community Medicine,Madhya Pradesh,"L.N. Medical College and Research Centre,Bhopal","LNCT University, Bhopal",Trust,2009,5
4577,MD - Forensic Medicine/Forensic Medicine & Toxicology,Madhya Pradesh,"M G M Medical College, Indore","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1948,4
4578,MD - Bio-Chemistry,Madhya Pradesh,"L.N. Medical College and Research Centre,Bhopal","LNCT University, Bhopal",Trust,2009,2
4579,MD - Microbiology,Madhya Pradesh,"L.N. Medical College and Research Centre,Bhopal","LNCT University, Bhopal",Trust,2009,2
4580,MD - Pharmacology,Madhya Pradesh,"L.N. Medical College and Research Centre,Bhopal","LNCT University, Bhopal",Trust,2009,2
4581,MD - Physiology,Madhya Pradesh,"L.N. Medical College and Research Centre,Bhopal","LNCT University, Bhopal",Trust,2009,4
4582,MD/MS - Anatomy,Madhya Pradesh,"L.N. Medical College and Research Centre,Bhopal","LNCT University, Bhopal",Trust,2009,2
4583,M.Ch - Surgical Oncology,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,4
4584,MD - Forensic Medicine/Forensic Medicine & Toxicology,Madhya Pradesh,"Peoples College of Medical Sciences & Research Centre, Bhanpur, Bhopal","Peoples University, Bhopal",Trust,2005,3
4585,MD - Forensic Medicine/Forensic Medicine & Toxicology,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,3
4586,DM - Medical Gastroenterology,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,2
4587,M.B.B.S.,Madhya Pradesh,"Chirayu Medical College and Hospital, Bairagarh,Bhopal","Chirayu University, Bhopal (M.P)",Trust,2011,250
4588,M.Ch - Neuro Surgery,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,2
4589,DM - Neurology,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,2
4590,MD - Physiology,Madhya Pradesh,"Ruxmaniben Deepchand Gardi Medical College, Ujjain","Vikram University, Ujjain",Trust,2001,2
4591,MD/MS - Anatomy,Madhya Pradesh,"Ruxmaniben Deepchand Gardi Medical College, Ujjain","Madhya Pradesh Medical Science University, Jabalpur",Trust,2001,2
4592,MD - Psychiatry,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,5
4593,MD - Radiotherapy/ Radiation Oncology,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,5
4594,MD - Psychiatry,Madhya Pradesh,"Peoples College of Medical Sciences & Research Centre, Bhanpur, Bhopal","Peoples University, Bhopal",Trust,2005,3
4595,MD - General Medicine,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,30
4596,MD - Pharmacology,Madhya Pradesh,"Index Medical College Hospital & Research Centre,Indore","Malwanchal University, Indore",Trust,2007,1
4597,MD - Social & Preventive Medicine / Community Medicine,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,7
4598,MD/MS - Anatomy,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,7
4599,MS - General Surgery,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,30
4600,MD/MS - Ophthalmology,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,5
4601,MD - Radio Diagnosis/Radiology,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,17
4602,MD - Pharmacology,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,2
4603,MD - Pathology,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,19
4604,MD - Physiology,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,2
4605,"MD - Dermatology , Venereology & Leprosy",Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,10
4606,MD - Paediatrics,Madhya Pradesh,"Peoples College of Medical Sciences & Research Centre, Bhanpur, Bhopal","Peoples University, Bhopal",Trust,2005,4
4607,MD - Anaesthesiology,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,16
4608,MS - Orthopaedics,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,12
4609,MS - Obstetrics & Gynaecology,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,20
4610,MD - Bio-Chemistry,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,2
4611,MD - Paediatrics,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,20
4612,MS - ENT,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,4
4613,MD - Microbiology,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,2
4614,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,3
4615,MS - Orthopaedics,Madhya Pradesh,"Ruxmaniben Deepchand Gardi Medical College, Ujjain","Madhya Pradesh Medical Science University, Jabalpur",Trust,2001,6
4616,MD - Pathology,Madhya Pradesh,"Peoples College of Medical Sciences & Research Centre, Bhanpur, Bhopal","Peoples University, Bhopal",Trust,2005,11
4617,MD - Pathology,Madhya Pradesh,"Index Medical College Hospital & Research Centre,Indore","Malwanchal University, Indore",Trust,2007,12
4618,MD/MS - Anatomy,Madhya Pradesh,"Peoples College of Medical Sciences & Research Centre, Bhanpur, Bhopal","Peoples University, Bhopal",Trust,2005,2
4619,MD - Microbiology,Madhya Pradesh,"Index Medical College Hospital & Research Centre,Indore","Malwanchal University, Indore",Trust,2007,2
4620,MS - Obstetrics & Gynaecology,Madhya Pradesh,"Peoples College of Medical Sciences & Research Centre, Bhanpur, Bhopal","Peoples University, Bhopal",Trust,2005,9
4621,MD - Physiology,Madhya Pradesh,"Peoples College of Medical Sciences & Research Centre, Bhanpur, Bhopal","Peoples University, Bhopal",Trust,2005,2
4622,MD - Bio-Chemistry,Madhya Pradesh,"Peoples College of Medical Sciences & Research Centre, Bhanpur, Bhopal","Peoples University, Bhopal",Trust,2005,2
4623,MD - Pharmacology,Madhya Pradesh,"Peoples College of Medical Sciences & Research Centre, Bhanpur, Bhopal","Peoples University, Bhopal",Trust,2005,2
4624,MD - Physiology,Madhya Pradesh,"Index Medical College Hospital & Research Centre,Indore","Malwanchal University, Indore",Trust,2007,3
4625,MD/MS - Anatomy,Madhya Pradesh,"Index Medical College Hospital & Research Centre,Indore","Malwanchal University, Indore",Trust,2007,2
4626,MD - Bio-Chemistry,Madhya Pradesh,"Index Medical College Hospital & Research Centre,Indore","Malwanchal University, Indore",Trust,2007,2
4627,MD - Social & Preventive Medicine / Community Medicine,Madhya Pradesh,"Index Medical College Hospital & Research Centre,Indore","Malwanchal University, Indore",Trust,2007,2
4628,MD - Microbiology,Madhya Pradesh,"Peoples College of Medical Sciences & Research Centre, Bhanpur, Bhopal","Peoples University, Bhopal",Trust,2005,3
4629,MD - Social & Preventive Medicine / Community Medicine,Madhya Pradesh,"Peoples College of Medical Sciences & Research Centre, Bhanpur, Bhopal","Peoples University, Bhopal",Trust,2005,4
4630,M.B.B.S.,Madhya Pradesh,"Bundelkhand Medical College, Sagar","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2009,125
4631,MD - General Medicine,Madhya Pradesh,"Ruxmaniben Deepchand Gardi Medical College, Ujjain","Madhya Pradesh Medical Science University, Jabalpur",Trust,2001,12
4632,MS - ENT,Madhya Pradesh,"Ruxmaniben Deepchand Gardi Medical College, Ujjain","Madhya Pradesh Medical Science University, Jabalpur",Trust,2001,5
4633,MD - Anaesthesiology,Madhya Pradesh,"Ruxmaniben Deepchand Gardi Medical College, Ujjain","Madhya Pradesh Medical Science University, Jabalpur",Trust,2001,9
4634,MD - Paediatrics,Madhya Pradesh,"Ruxmaniben Deepchand Gardi Medical College, Ujjain","Vikram University, Ujjain",Trust,2001,3
4635,MD - Microbiology,Madhya Pradesh,"Ruxmaniben Deepchand Gardi Medical College, Ujjain","Vikram University, Ujjain",Trust,2001,3
4636,MS - General Surgery,Madhya Pradesh,"Ruxmaniben Deepchand Gardi Medical College, Ujjain","Vikram University, Ujjain",Trust,2001,6
4637,MS - Obstetrics & Gynaecology,Madhya Pradesh,"Ruxmaniben Deepchand Gardi Medical College, Ujjain","Madhya Pradesh Medical Science University, Jabalpur",Trust,2001,8
4638,MD - Radio Diagnosis/Radiology,Madhya Pradesh,"Ruxmaniben Deepchand Gardi Medical College, Ujjain","Madhya Pradesh Medical Science University, Jabalpur",Trust,2001,7
4639,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Madhya Pradesh,"Ruxmaniben Deepchand Gardi Medical College, Ujjain","Madhya Pradesh Medical Science University, Jabalpur",Trust,2001,4
4640,MD - Social & Preventive Medicine / Community Medicine,Madhya Pradesh,"Ruxmaniben Deepchand Gardi Medical College, Ujjain","Madhya Pradesh Medical Science University, Jabalpur",Trust,2001,7
4641,"MD - Dermatology , Venereology & Leprosy",Madhya Pradesh,"Ruxmaniben Deepchand Gardi Medical College, Ujjain","Madhya Pradesh Medical Science University, Jabalpur",Trust,2001,4
4642,MD/MS - Ophthalmology,Madhya Pradesh,"Ruxmaniben Deepchand Gardi Medical College, Ujjain","Madhya Pradesh Medical Science University, Jabalpur",Trust,2001,5
4643,MD - Pharmacology,Madhya Pradesh,"Ruxmaniben Deepchand Gardi Medical College, Ujjain","Vikram University, Ujjain",Trust,2001,2
4644,MD - Pathology,Madhya Pradesh,"Ruxmaniben Deepchand Gardi Medical College, Ujjain","Madhya Pradesh Medical Science University, Jabalpur",Trust,2001,12
4645,MD - Psychiatry,Madhya Pradesh,"Ruxmaniben Deepchand Gardi Medical College, Ujjain","Madhya Pradesh Medical Science University, Jabalpur",Trust,2001,3
4646,M.B.B.S.,Madhya Pradesh,"Peoples College of Medical Sciences & Research Centre, Bhanpur, Bhopal","Peoples University, Bhopal",Trust,2005,250
4647,MD - Pharmacology,Maharashtra,"B. J. Govt. Medical College, Pune","Maharashtra University of Health Sciences, Nashik",Govt.,1964,8
4648,MD - Physiology,Maharashtra,"Krishna Institute of Medical Sciences, Karad","Krishna Institute of Medical Sciences University (Deemed), Karad",Trust,1984,1
4649,MS - ENT,Maharashtra,"Dr. D Y Patil Medical College, Kolhapur","D.Y. Patil Education Society (Deemed University), Kolhapur",Trust,1989,2
4650,MD - General Medicine,Maharashtra,"Bombay Hospital Institute of Medical Sciences, Mumbai","Maharashtra University of Health Sciences, Nashik",Govt.,,2
4651,MD - Radio Diagnosis/Radiology,Maharashtra,"Institute of Navel Medicine, INHS, Aswini","Maharashtra University of Health Sciences, Nashik",Govt.,1972,2
4652,M.Ch - Thoracic Surgery/Cardio Thoracic Surgery/Cardio Vascular and thoracic Surgery,Maharashtra,"Bombay Hospital Institute of Medical Sciences, Mumbai","Maharashtra University of Health Sciences, Nashik",Govt.,,1
4653,MS - General Surgery,Maharashtra,"Lokmanya Tilak Municipal Medical College, Sion, Mumbai","Maharashtra University of Health Sciences, Nashik",Govt.,1964,20
4654,MS - Orthopaedics,Maharashtra,"Postgraduate Institute of Swasthiyog Pratisthan, Miraj","Maharashtra University of Health Sciences, Nashik",Trust,,4
4655,Diploma in Child Health,Maharashtra,"Lokmanya Tilak Municipal Medical College, Sion, Mumbai","Maharashtra University of Health Sciences, Nashik",Govt.,1964,3
4656,MS - Obstetrics & Gynaecology,Maharashtra,"Bombay Hospital Institute of Medical Sciences, Mumbai","Maharashtra University of Health Sciences, Nashik",Govt.,,3
4657,M.Ch - Urology/Genito-Urinary Surgery,Maharashtra,"Bombay Hospital Institute of Medical Sciences, Mumbai","Maharashtra University of Health Sciences, Nashik",Govt.,,2
4658,Diploma in Anaesthesia,Maharashtra,"Armed Forces Medical College, Pune","Maharashtra University of Health Sciences, Nashik",Govt.,1962,15
4659,MD - Emergency Medicine,Maharashtra,"Mahatma Gandhi Missions Medical College, Aurangabad","MGM Institute of Health Sciences (Deemed University), Navi Mumbai",Trust,1989,5
